Description,Food,Service,Atmosphere,Price,labe
One time we fund fly from our food.,1,0,0,0,0
"Everything is frozen and then fried to reheat. Weird musty smell and the place was not surprisingly empty. Not worth it, even with the groupon. The tapas are all priced like entrees. Total bust. :(",1,0,0,1,0
Food is generally not good here,1,0,0,0,0
"The desserts and drinks were good, wasn't impressed with the rest of the food.",1,0,0,0,0
The food was okay. Nothing was really hot. The flatbread was on the clunky side. Most items are very overpriced,1,0,0,1,0
Portions are very small for the amount or money charged.,0,0,0,1,0
Small portions for the price,0,0,0,1,0
Food had a gaseous flavor to it  Tasted like BBQ with too much lighter fluid  Upset my stomach,1,0,0,0,0
Very pricey but good food,1,0,0,1,1
I was extremely dissapointed with the service.  We waited 15 minutes and then had to ask for Hugo to come to our table to take our drink orders. Highly suggest adding another waiter or a bus boy.....,0,1,0,0,0
Horrible service- waiter couldn't understand our order.  We did NOT receive the house tapas (supposed to be included with the purchase of the Groupon). Table of 4-ordered the 5 course tasting menu for $35.75/pp and received regular menu portion.,0,1,0,1,0
The servers were clueless. The food was terrible for the value barely got any food for the amount of money I spent. The sangria was horrible. The staff unprofessional. Will never go back.,1,1,0,1,0
plates are way to small....i would not even pay groupon prices for this - i was starving after i left there,1,0,0,1,0
"The pitcher of sangria was excellent, however, the food is not at all what it looks like from the online menu.",1,0,0,0,0
"Apps high price for small food. Fine to go once, would not choose to go again.",1,0,0,1,0
We were thrown into a table in the middle of the floor almost on top of the table next to us where the waiters couldn't even walk by without bumping into us. On top of it the food was not even decent. I would not return.,1,1,0,0,0
Sliders were the size of a quarter ridiculous for $13,0,0,0,1,0
For the quality of food they serve- it's overp,1,0,0,0,0
We made reservations and our table wasn't ready. They finally shoved us in a corner. Our order was repeatedly incorrect and we were finally rushed out because there was a large group waiting for our table even though they knew they didn't have room.,0,1,0,0,0
"I was so excited to go, I've heard wonderful things about things about the food.  The place is cute, the service outstanding.  The food all tasted pre prepared, cold, no flavor. I won't be back.",1,1,1,0,0
Everything was full of mayonnaise and thick gloppy sauce on top. There was not one dish served that you could actually taste the food. I  got nauseous after tasting two different bites. If you are serving quality food you dont need to hide it.,1,0,0,0,0
The waiter claimed you had to announce when reservation was made that you had a Groupon even though that wasn't mentioned as a requisite. They didn't want to honor the $38 off but ended up giving a house tapas after check was issued.,0,1,0,1,0
"Don't eat meat, diabetic. All seafood had sweet sauce. Didnt try to alter.Told were using Groupon made a comment. Were meeting friends for dessert, went elsewhere. Eat out frequently and love small local places...did not feel welcome.",1,0,1,0,0
The sangria was just wine over ice with berries.  Was missing some key ingredients like Brandy and soda.  Some dishes were excellent (ceviche and skewers)  but others were a bit heavy.,1,0,0,0,0
Confusing good combinations.,0,0,0,0,0
"Horrible service 
The waiter was unattentive and rude",0,1,0,0,0
"Paella was flat  tasting, under seasoned
Waiter was ""top notch""
Wine was excellent pour",1,1,0,0,0
Waiter was rude and inattentive.,0,1,0,0,0
"This was the worst service I've had. I'm embarrassed. Never coming back. Get new waiters. Your menu is ugly and ""dessert"" was spelled wrong. I have never had worst service in my entire life and I am embarrassed that I brought my friends w.",1,1,0,0,0
The food was not good or fresh.,1,0,0,0,0
"Way Overpriced.  Would Not Come Back And We Eat Out Multiple Times Per Wk.  Lower Your Prices And Increase Your Portions And Your Business Will Be Much Better, So You Won't Need To Keep Luring In People Through Groupon.  U Won't Get Much RepeAt Biz The Way You Are Doing It Now.  Good Luck!",1,1,0,1,0
The food selection is very limited.  We asked for dessert and were told they do not offer dessert. What was offered for the groupon was not served.  We did not receive the house tapas only the entrees we ordered(which in my opinion were more like an appetizer).  The portions are so small you are left hungry.  The service was terrible.  The tables are tiny and you are sitting practically on top of the next person.,1,1,1,0,0
They don't serve any tapas,0,1,0,0,0
"Food tasted packaged, not fresh.",1,0,0,0,0
"While the food and service were great, they did not honor my Groupon.",1,1,0,0,1
Excellent food and wine. Entertainment was good. Vendors were all friendly.,1,1,1,1,1
The price we paid was an outstanding value. There were many excellent wineries present at the festival. All willing to present and explain their wines. Really good crowd of people to experience this event with. Free parking for the event. Highly recommended for any wine lovers or wine amateurs willing to taste the differences in the wine tasting experience.,1,0,1,1,1
"Had a fantastic time! So many wineries, distillery__ and cider vendors; not to mention local crafts, honey, maple syrup and cheese. Great value, libations and food. Can__ wait till next year.",1,0,1,1,1
Excellent experience for the novice to a sommelier.  I brought a mixed group with me and everyone had different favorites.  Sellers were patient and knowledgeable.  Although it can get very crowded the atmosphere is festive and light.  There is a great selection.,0,1,0,0,1
"The variety of wines was wonderful from local wineries but to tout this as a ""Food & Wine Festival "" is very misleading. The ""food"" was cheese, dips, a other crudit_s for sampling. At other food and wine festivals there was actual ""tastings"" by local chefs and/or restaurants. If you wanted something to eat you paid for something of a FOOD TRUCK",1,0,1,0,1
This was my third visit. I always have a good time.  The variety of vendors are great.  I've found a few of new my favorite things right here.,0,1,0,1,1
"The wine tasting wasn't bad. There was a good representation of NYS wineries and distilleries there and a good representation of food exhibitors with free samples. It was fairly easy access to the exhibitors and the tastings as it wasn't too crowded (went on Sunday per Groupon) and there weren't a lot of strollers. People are bringing there own wine caddies (ie, small pull along shopping carts) even though there is a very handy pickup service so you don't have to tote your wine purchases around. I had two main complaints. The wine offered for sale at the event was about 25% costlier than you would pay at a discount liquor store. The separate food vending area (not the food exhibitors) was extremely overpriced. I paid $6.00 for a small slice of pizza. Hot dogs sold for $4.00 apiece. I would expect a small premium on food but this was ridiculous. If I go again, I will bring my own food. Not sure if you can bring it in but one can always go to the car to eat.",1,1,1,0,1
The Wine Fest is awesome.  You get to taste hundreds of wines and food and buy at discounted prices.  Getting the Groupon price to get it is the way to go.  Definitely recommend it.,1,0,1,0,1
"I had an awesome time, great good & people. Vendors were wonderful & friendly",1,1,1,1,1
A lot of fun!!,0,0,0,1,1
"Nice atmosphere and samples of wine. However, there were only a few food tastings, which consisted of cold cuts and cheese. We had to pay for real food outside the tents.",1,0,1,1,1
My husband and I look forward to coming to this event yearly !! It__ a wonderful day and SO many vendors !!,1,0,1,1,1
"Everything about my day there was really good. The only negative was that it was so huge, with so many vendors, that I didn't have a chance to go to all of them.",1,0,1,1,1
"Definitely not as many wineries as in past. But makes the aisles less crowded .   Found a few favorites, great time with friends!",1,0,1,1,1
AMAZING FOOD AND WINE,1,0,1,0,1
"This is my third year in a row attending the Hudson Valley Food and Wine Fest but the first time I purchased a Groupon for it. It was really easy to redeem. Since the weather was on the cooler side and was also cloudy on Sunday, the 9th, there were hardly any lines and it was easy to move from one vendor to the next. I can__ wait to go again next year!",1,0,1,0,1
awesome time.,0,0,0,1,1
Always such a great time! And this is such a great deal.,1,0,1,1,1
Great time at the wine fest will keep going,1,0,1,0,1
I feel like the food and wine festival is really catching on. This is the third year I__ going and each year seems bigger and better.,1,0,1,0,1
Vendors were numerous and friendly,1,0,1,0,1
The event had a nice layout and wasnt to crowded. Lots of great vendors!,1,0,1,1,1
"Packed on Saturday,  much better on Sunday.  Searched both days for what could be even slightly considered 'gourmet food ' never did find it.  Some good wines, some horrible as would be expected.  For an event that could turn ugly really quickly,  this was very well done. Everyone (but one drunk person)  was nice and polite. I would definitely go again.",1,1,1,1,1
"long line when you first walked in. not prepared for amount of people,",0,0,0,1,1
Great sampling of food and beverages. Will go back!,1,0,1,0,1
"The wine festival was wonderful. I just wish they allowed you to bring coolers in. I get that the food vendors want to make money, but some times people can not eat those options. We just went back out to the car and had a picnic but it would have been better to just have a picnic inside the festival. Otherwise it was one of the better ones we have been too.",1,0,1,0,1
"I was able to use my groupon due to illness, so I paid it forward, gave tickets to some else to use",0,0,0,0,1
We enjoyed the winefest as always,0,0,0,1,1
Great vendors!!  Such a great time!!,1,0,1,1,1
"good event, wish we got there earlier in the day, the flow of the crowd was ridiculous though, maybe a suggestion is to look at the flow of people, to many people just standing aorund",0,0,0,1,1
Excellent,0,0,0,0,1
Fun day. A lot of food and wine!!!,1,0,1,0,1
"Been going past 6years..love this Fest!! Great vendors , food and fun!!!",1,0,1,1,1
"Great place to sample so many wines of New York. Benmarl wines from marlboro, were really nice along with many from the finger lakes region. good food too!",1,0,1,0,1
Great deal !,0,0,0,0,1
great time loved it,0,0,0,0,1
"Had a great time this year, as always!",0,0,0,0,1
"Great time, lots of fabulous wines!",1,0,1,0,1
The Hudson Valley Wine and Food Festival was fantastic second yeah I'm going we got to go again last year we had five people this year we had 11 people it was great the food is great the people were great everybody had a great time no people were acting up no craziness the food was affordable everything was fantastic make sure if you come you bring a book bag to carry all the items you need carry.,1,0,1,1,1
"This was my second annual __irls day_ at the Hudson Valley Wine and Food Festival.  I think my group would agree that it__ an great time, where one can experience wines from vineyards not always found in our area.   We all had a wonderful time, and had fun.  Most importantly, the staff was efficient and the set up was great.  All in all, highly recommended.",1,1,1,1,1
"We had a lot of fun! Great vendors, nice food trucks and a lot of different wineries to sample from the New York area! Definitely coming back next year",1,0,1,0,1
"Fun day, lots and lots of vendors ..... food, as well as wine, bourbon, gadgets and more.",1,0,1,0,1
"There was a large number and variety of wines and liquors available.  However the variety and number of food vendors was fairly small, particularly in proportion to the number of wineries/distilleries.",1,0,1,0,1
It was a nice weekend activity,0,0,0,1,1
"We are so happy we went for both days. But next year we eill do only one which is very doable. The first day after 1pm it was very crowded but you could still get to the vendors but it took a bit so bring your patience! Everything was mixed together , wine, crafts, some food items which was nice. We had a great time trying wines that normally we would not have. There was a great selection from dry to semi dry to very sweet.  We came home with 21 bottles!  The second day was not as crowded,  some vendors had sold out of products we bought the day before but this is normal for a two day event. It advertised ""gourmet "" food but for us it was just food vendors nothing super special.  I woukd recommend this event ad someyhing fun to do.",1,1,1,0,1
Awesome!!!,0,0,0,0,1
Fun informative day,0,0,0,1,1
"The number and variety of vendors makes the event fun.  It is easy to navigate through the Dutchess County Fairground buildings and explore all the options.  There is plenty of food and places to eat throughout the day.  I have many guests come from afar and we all enjoy coming, year after year.",1,1,1,0,1
"My 7th year, always awesome. Cant beat the price.",0,0,0,0,1
"Lots of wineries, distilleries and food trucks along with small businesses set up with cheese, jerky, honey, maple products and more. Although it is set up well, it does get quite crowded and at time difficult to get samples and talk with those setup.",1,0,1,1,1
Nice venue but so so crowded. The one big issue is many of the vendors only had 2 staff. Once a purchase is made now there is only one person pouring. U wait 5 mins or so sometimes per table to taste. It was kind of frustrating. Glad to see there were more food trucks but I still had very limited options due to being Celiac.,1,1,1,1,1
"There were lots of vendors. We had a great time. Got these amazing glasses from Wine Me.  Met the artist, Rebecca.  She is incredibly talented. There were so many designs to choose from. Check them out at winemecompany.com",1,0,1,1,1
"Second year at this event and my sister and I already can't wait until next year!!  Excellent array of wine vendors, foods and merchandise.  There could be more food trucks.",1,0,1,0,1
We love this event. We have attended it for several years. My only wish is that they would space the venders out more so that it was not so crowded. Also invite some more venders from Long Island. They have representatives from Hudson valley and The Finger lakes,1,0,1,1,1
A really great afternoon.,0,0,0,0,1
I feel that this evet has started to run its course.,0,0,0,0,1
A lot of great wineries and variety!,1,0,1,0,1
Fun but way too crowded.,0,0,0,1,0
Just a real good t,0,0,0,0,1
"So many wines to try, so many vendors to see, so many food choices. A great day. Very well organized, planned and staffed. Looking forward to next year!",1,1,1,0,1
Had an awesome time. Good wine. Better bourbon and other deliciousness. Can__ wait til next year.,1,0,1,0,1
"The festival was a great mix of wine, liquor, beer, food and other local goods to purchase.  There were a lot of food trucks from which to buy food and there was ample seating to enjoy the weather either outside or under the beer tent.  There was a good band playing outside as well.  Overall, a very enjoyable afternoon.",1,0,1,0,1
"Wide variety of wines and spirits, cheeses and other vendors.",1,0,1,0,1
"Plenty of vendors, but the crowds keep you from getting near them.",1,0,1,1,0
So much fun! Great wine vendors with a variety of wines and food! We will definitely be back next year!,1,0,1,0,1
Love this festival!,0,0,0,1,1
Great selection of vendors,1,0,1,0,1
Had a blast! Saved almost 50% through Groupon!,0,0,0,0,1
"Good fun time. Nice day, great services, a little crowded. Nice variety of food vendors, wine, spirits, beer and crafts.",1,1,1,1,1
I__ woozy,0,0,0,0,1
Had an outstanding time! Will do it again!,0,0,0,0,1
Get there early the wait in line time to pick up wristbands was overwhelming no order or system,0,0,0,0,1
I am really disappointed that the entrance fee has gone up so much. The biggest disappointment was the restaurants charging full prices.  They use to give sample of food at cheaper prices Very disappointed.  The wine owners also should have given a discount on their wine they only gave a discount if u purchased a case.  Not going ever again,1,1,1,0,0
"Space was nice, but spending money on a ticket just to spend money on food, wine, beer, etc is lame. I spent 15 bucks on a meal and 10 on a beer. Not really sure why they charge for tickets if everything cost this much. I wouldn__ recommend and would not go again.",1,0,1,1,0
Too crowded and not as many ice wines as in the past.,1,0,1,1,0
Crowded. Can__ get close to a table to hear about the wines. Watched many fights as people elbow their way in to get a free drop of alcohol.,1,0,1,1,0
All the wine tasting tables were too crowded. The beer tasting was good.  The lamb gyro at the food truck was great.  Disappointed it was so difficult to get wine tastings.,1,0,1,1,0
The admission fee was very high...there was very little food to sample ...it was mostly wine...,1,0,1,0,0
"Unless you used a groupon , this would be way overpriced. There were almost zero food tastings. You can__ call it __ine and food_ if you just have food vendors outside like any other fair.",1,0,1,0,0
"My 6th year, always worth it! The onky down side is, if u really like wine and have favorite wineries, its a bit disappointing whenthey dont bring your favorite to the festival__",0,0,0,0,1
"Overall very good...very crowded is the down side...long lines at the food trucks and sometimes tough to get a tasting, but with a bit of finesse we got what we wanted...lots of good wineries, distillers and foods represented...would do again",1,0,1,1,1
"It was such a fun experience. Great wine, great bites. Would definitely recommend.",1,0,1,0,1
Great time...Great vendors.....Great wine.....,1,0,1,0,1
Lots of great wines to taste. Fun for anyone who likes wine. Harriet of food trucks to choose from for lunch.,1,0,1,0,1
"Fantastic selection of wineries, food vendors as well as crafts tables. Enjoyed a beautiful afternoon sampling some great wines! Will definitely plan on returning next year!",1,0,1,0,1
"unfortunately I did not find any of the NYS wines exciting; in all honesty they were flat or just too sweet or the adding additional fruit flavor, did not help it. This is my opinion and also my friends.
As per the grounds and the attendants were fantastic. Food trucks____",1,0,1,0,0
"Lots of fun, wine and food. Some really great wines and hard ciders.",1,0,1,0,1
"Although crowded it's a great wine tasting experience. I loved the food and samples of whisky, gin and vodka as well. The food from the food trucks were great. Overall the groupon for the food and wine festival were well worth the money. Overall great experience! Will be going next year. We drove over an hour and a half again well worth it.",1,0,1,1,1
Great wine. Wonderful energy. Looking forward to next year festivities.,1,0,1,0,1
"The wine, spirits and beer tasting was wonderful.  Could have used more food vendors.  The food trucks were just o.k.",1,0,1,0,1
"There is plenty of choices at this festival, something for everyone.  If you love wine lots of boutique, large and small wineries .  there is craft beer for beer lovers, local distilleries and food options.",1,0,1,0,1
What an amazing time I had at this event.  The wine tasting was great and the food was awesome.,1,0,1,1,1
"Crowded, but lots to sample from, great atmosphere, awesome vendors, delicious food, lots of fun!",1,0,1,1,1
"It is a great day, lots of vendors and wineries, and food trucks with really delicious and unusual food! Bring cash-not all vendors take cards and ATMs ran out/did not work. Carry your purchases or make trips to car to store purchases. The system they have for collecting and storing your purchases in one location really does not work well-wait time to collect your items is hours long and sometimes not all your items are there, even though you paid for them. Regardless, I will definitely return next year!",1,1,1,0,1
"great variety of food, wine, vendors",1,0,1,0,1
Follow the crowds! They know the best wineries,1,0,1,1,1
the food was very good.   but the line for it was long,1,0,1,1,1
"Great time! Food was really good. Got to try as much as you wanted including ciders, wine, and some liquors. Would recommend a designated driver.",1,0,1,0,1
I would advise eating at one of their great food vendors then proceeding to the wine tasting!  It's loads of fun!  Vendors are friendly!  Crowd is classy!,1,1,1,0,1
"The event is amazing. Parking is easy, and relatively convenient. Wine glasses, and vendor book are nice. Even with it indoors, its still comfortable. Wine pickup is amazing, makes the day so easy. 

Only ""complaint"" is how crowded each table gets. People like to sit and chat with the server (sometimes there is only 1) and tables get backlogged 4-5 people deep. Aisles get crowded, and it becomes a bottleneck.

Other than that, its amazing!",1,0,1,1,1
"Friendly vendors, tons of variety and clean. Great experience.",0,1,0,1,1
Less wineries than in the past. But still a fun day with friends.,1,0,1,0,1
"Great time, great vendors! Will be back next year!",1,1,1,0,1
This year was my 7 or 8th time attending this event. Always a great time.I missed a few vendors from last year that weren't there this year. Hope to see them next year.,0,1,0,0,1
"This festival is outstanding, every year they get better and better. Not to be missed",0,0,0,1,1
"Very crowded, hard to get up front for a tasting. I'm glad I had a groupon deal, so the lack of access didn't bother me too much. Would love to see many more hard-cider's and beers. Nice treat seeing this years Masterchef demo. More vegetarian and vegan food trucks would be a distinct plus. The great weather made it a very enjoyable day.",1,0,1,1,0
"I was very happy to have gotten the tickets from Groupon. This year the festival was not as well organized as far as walking through the buildings. Now that there are not just wineries, but distilleries and breweries, it was packed and hard to get anywhere. A number of times I was not able to get passed people. I was disappointed and left early from being frustrated for the reason I stated above.",1,0,1,0,1
Had a GREAT time there! ! I would definitely recommend anyone who is interested to experience the Hudson Valley Wine & Food Fest to go and take part  in the wonderful atmosphere.,1,0,1,1,1
Great day of wine tasting!,1,0,1,0,1
"Last year was surely better. I had an issue with the whole  ""wine pick up"" area, but the supervisor of.the staff was EXTREMELY helpful. She went above and beyond to help us and she's the reason for the 4 stars. I wish I could remember her name.",0,1,0,0,1
Less wineries than normal. I was disappointed in the amount.  Unfortunately we had to go on Sunday so some of pur favorite wineries had run out of wines for sunday,1,0,1,0,1
"hugs facility with lots of parking, lots of wine tasting and lots of food trucks and lots of happy. friendly people!",1,0,1,1,1
Great festival and so many great selections!!,1,0,1,1,1
"What a wonderful experience, my first time and trust me it won't be my last.",0,0,0,0,1
Gave as gift. They loved it,0,0,0,0,1
The Hudson Valley Wine & food fest is a must do!..it was my first time and I would definitely go again next year!,1,0,1,0,1
I go every year I love it. Worth going,0,0,0,0,1
"Our first time at this festival. We LOVED it!! It is huge! So many different vendors. Lots of wine, and many other things as well. We already checked to see what the date is for 2018!! Highly recommend this festival!",1,0,1,1,1
I can't wait until next year. They should do this twice a year.,0,0,0,0,1
Been going for years ! Fun day !,0,0,0,0,1
Fun for the entire family. Will attend again such a beautiful place,0,0,0,1,1
Always a good time here at the food and wine tasting! Is my 3rd year visiting this place! Great outing and so far has been really good weather,1,0,1,0,1
Very fun event.,0,0,0,1,1
More water stations would be beneficial. Great  venuesl.,1,0,1,1,1
Great festival with a large selection of wine and food vendors.  Beautiful fairgrounds and nice indoor/outdoor event.  Wish it was a little less crowded (next year we will go right as it opens to get a head start).,1,0,1,1,1
Amazing eve,0,0,0,0,1
"I had a fantastic time the tastings were great.  The wine tastings, the cheese tastings, the tasting olive oil with the bread was fantastic. The people were great not a nasty person not a bad person out there.  The weather was fantastic. This was a really great occasion. I would suggest a lot of people should go.",1,0,1,0,1
A little something for everyone!,0,0,0,0,1
Had a wonderful time. Everyone was so friendly. So many different wines to taste & ciders. Awesome selection of food.,1,0,1,0,1
Excellent vendors and wonderful time!,0,1,0,0,1
"Good value, lots of vendors and choices, so many that five hours isn't enough to sample as much as we would like.",1,1,1,0,1
"Super crowded, a bit chaotic.  It was very slow trying to get samples. I would suggest each vendor has a person dedicated to sales only and others who do the samples only. Just took too long at each place while winery reps were trying to do too many things at once.  Also, the amount of people cutting in front of others was mind boggling.  It was decent in variety & size but needs a tweaking.",0,1,0,1,0
Amazing time with family and friends,0,0,0,0,1
Great value with so many fine wines and delicious foods to taste.  Good music and a fun vibe!  Could have been more food trucks available.,1,0,1,0,1
Great way to taste wines from New York state.,1,0,1,0,1
The venue for the wineries was too crowded. They could have been spread out. There weren't enough foods for the food tasting and there should have been more comingling of foods with wines. More artisans could have offered crafts for sale..it was hard to find vendors with water and soft drinks and no coffee vendors. People started leaving after an hour or two as there wasn't enough to keep them there.,1,1,1,1,1
"Yes and so much wine tasting and other venders. Such as jewelry, food, etc.",1,0,1,0,1
"It was a beautiful day to sample New York State wine, cheese, and desserts with friends. There were plenty of merchants to satisfy every palette. I would definitely do it again and recommend it to others.",1,0,1,0,1
"An absolutely perfectly run festival. The grounds were well marked and easy to get to. Staff was on hand to direct the parking, and then more staff was there to guide people and give out wrist bands. The wine and beer was varied, with so so many vintners and brewers represented. The food trucks had different types of food for everyone, and for the first time in my experience the food was well-priced! All in all a great day for my wife and I, can't wait to go back next year!!",1,1,1,1,1
I have been going for many years,0,0,0,0,1
"its a shame that after you buy a d d ticket for the event, you have to pay $2.00 for a water.",0,0,0,0,1
"Always such a great time laughs and smiles!
We look forward to this every year.....",0,0,0,0,1
Great day! Great deal! Be prepared for a crowd.,1,0,1,1,1
Have been attending this event for several years now absolutely love it!!,0,0,0,0,1
"Is q great place! Good outdoor, wine beer and venders",1,1,1,0,1
Great fun and very large selection of merchants.,0,1,0,0,1
"I was there 2 years ago and now on September 10, 2016. I only paid $20.00 each for the tickets, which is a great price considering all that you get. The only thing that was bad was the weather. It was very hot and humid that day and the ceiling fans were not doing anything with those high ceilings and all the people in the tents.",0,0,0,0,1
"Larger and more booths than I thought, food and craft options - great way to spend a day outdoors",1,0,1,0,1
it was a great variety of local wines beers and other alcohol.  the food for tasting was very limited to just cheeses and some desserts but they had several food trucks to choose from that were great! hope to attend again next year!,1,0,1,0,1
One of our FAV Fest...,0,0,0,0,1
Really crowded. But nice,0,0,0,1,1
"Nice event, food was good and not too crowded. White wine samples we nice, not a fan of NY reds.",1,0,1,1,1
We had a great time tasting different wines & spirits from the Hudson Valley.  Great way to spend a Sunday afternoon!,1,0,1,0,1
Layout was perfect.   Vendors awesome.,0,1,0,0,1
Had a great time!!!! Disappointed at the beer selection compared to last year.,1,0,1,0,1
"Had a fabulous time, I can't wait for the next one!",0,0,0,0,1
"This was a great event, not as many wine vendors as the past from what I was told. But for my first year going I really enjoyed myself even with the heat. Definitely something everyone needs to experience of you leave around the area. I will advise even with this being open to children there isn't much for them to do. Just better to enjoy an adult day of fun.",1,0,1,1,1
"What a great venue for this event!  There were lots of people there, but it didn't feel crowded like so many wine and food fests!  
We enjoyed the variety of vendors and food choices.",1,1,1,1,1
There were no garbage pails for you to use.,0,0,0,0,1
"The event is enjoyable, friendly, enlightening, and filling!",0,0,0,1,1
It is always such a fun day.  thank you to all those that organize it.,0,0,0,0,1
I love this place,0,0,0,0,1
Always a fun time to experience local wines!,1,0,1,0,1
Good wine selection & food vendors,1,0,1,0,1
"A great variety of wine, cider, and spirits to taste!",1,0,1,0,1
The festival was really well run and overall was a lot of fun! Just have some cash bec most food trucks only accept cash!,1,0,1,1,1
Very warm day,0,0,0,0,1
Too much fun! Still recovering!,0,0,0,0,1
Had such a great time at the event. Felt like they did not have enough food vendors.,1,0,1,0,1
Great time.  Not too crowded.  More wine than could possibly sample!,1,0,1,1,1
Fun experience- we had a great time and was impressed with the many vendors,0,1,0,1,1
Had a great time and would recommend it.,0,0,0,0,1
Highly highly highly reccomend! So much fun!,0,0,0,0,1
Amazing! So much! Will be back next year!,0,0,0,0,1
Bring address labels with you.,0,0,0,0,1
Get there early and either eat beforehand or bring money for food stands.,1,0,1,0,1
Wear comfortable shoe,0,0,0,0,1
We waited an additional 45 minutes at the wine pick up tent and the line tripled as we waited.  Unless the process is improved for next year - buy on the way out and carry your own wine.,0,0,0,0,1
Designate a driver!  Great time to have!,0,0,0,0,1
"Go early, a lot to try",0,0,0,0,1
Enjoyed the day and the events.  Looking forward to next year.,0,0,0,0,1
Bring lots of Cash!,0,0,0,0,1
Bring address labels to stick on orders if picking up later or bring wine bag to carry wines if not picking up later. Waits are very long.,0,0,0,0,1
"I thought the description was off.  After reading groupon and their(food & wine fest) website, I thought we would have to pay for food and drinks.  There was wine tasting included and samples of food. Larger amounts of food cost extra and water or soda cost.  Great time, Saturday was very warm but under cover.",1,0,1,0,1
"I appreciate the deals on groupon
thank you",0,0,0,0,1
They were very stingy pouring wine. I hope they change that next year.,1,0,1,0,1
had fun. the groupon is def worth it,0,0,0,0,1
Plan on getting there early and spend the entire day...well worth it.,0,0,0,0,1
Get there early and park and go in the back entrance,0,0,0,0,1
Don't do pickup service unless you have a lot of heavy items. Takes wayyyy to much time on line.,0,1,0,0,1
Food choices were a little disappointing.  I suggest eating before arrival.,0,0,0,0,1
Bring cash.   Credit cards not readily accepted,0,0,0,0,1
"Look through everything, then go back to buy.",0,0,0,0,1
Wear comfortable shoes. Make sure you have a hearty lunch because you can choose to sample quite a bit of wine!,1,0,1,0,1
Go early taste everything u can before buying anythin as u may walk further and feel like u like somehing else better. There's a lot of homemade dips and salad dressings and cookies too,1,0,1,0,1
Don't rush enjoy the day and all the wineries.  It was a great day the people were all wonderful.,0,0,0,0,1
The festival itself is wonderful but very long waits at the wine pick-up service at the end of the day can test your patience.,0,1,0,0,1
get there early,0,0,0,0,1
Saturday is more crowded than Sunday.  It is better to go on Sunday.,0,0,0,1,1
"no, the FEST was AMAZING!!!  I attend every year and plan to next year!",0,0,0,0,1
Get there early,0,0,0,0,1
Groupon is the way to go! The gate price is outrageous.,0,0,0,0,1
Bring address labels for wine pickup tent.,1,0,1,0,1
Great time !!!,0,0,0,0,1
I had a wonderful time!,0,0,0,0,1
It's a great annual event to get to know New York State wines which are becoming quite legitimate.,0,0,0,1,1
Make sure you take a designated driver.,0,0,0,0,1
Eat before hand. Bring more money than you initially planned on because the gourmet products are too good to not bring home. You may want to plan on going both days.,1,0,1,0,1
Great day,0,0,0,0,1
"It is a very enjoyable experience, but even more so when the Setpember temperatures are ""cooler""!",0,0,0,0,1
I have been attending this event every year for teh past 6 years.  It is a great time and I always buy various amounts of the wines (usually at least a case.  Each year it seem to geow in poipularity and attendees,1,0,1,0,1
There seemed to be many fewer wineries this year than 2 years ago. It was still a good time,1,0,1,0,1
This was such a fantastic event - we bought so much wine and tried so many new things!,1,0,1,1,1
Great time and a great deal.,0,0,0,0,1
It was a great intro to ny wines and foods. Had a terrific time,1,0,1,0,1
"Although it was a good idea, do not utilize the offer to buy the wine a then pick up at the tent, it took an hour online for me to get my bottles, it would have been easier to purchase and carry out when I was getting ready to head home.",1,0,1,0,1
Fun time! Go early to avoid crowds ;),0,0,0,1,1
"Get there early, it gets crowded but wait times at the many wineries for tasting was minimal.",1,0,1,1,1
wear comfy shoes,0,0,0,0,1
Fun event and well worth the price.,0,0,0,0,1
Drink water... Lots of water.,1,0,1,0,1
"If you want a really great day, make sure you attend this next year.  It's too bad they don't have them a couple of times a year. Awesome",0,0,0,0,1
Great event for wine and food lovers,1,0,1,0,1
Great Day! Wear comfortable shoes. Last year we attended on Saturday - this year Sunday. I would recommend Sunday - less crowded.,0,0,0,0,1
It is a wonderful festival but you should definitely take two days to enjoy it fully.,0,0,0,0,1
The groupon ticket was a great deal and the event was a lot of fun,0,0,0,1,1
Go early. It is really crowded. Last year was crowded but nothing compared with this year. The crowd flow was not managed well at all so we missed a number of merchants.,0,0,0,1,1
it was awesome :),0,0,0,0,1
It was very nice we enjoyed it!  Definitely looking forward to it next year.,0,0,0,0,1
Great place well organized,0,0,0,0,1
Great event and groupon was worth every penny.  BIG PRICE DIFFERENCE,0,0,0,1,1
Bring a rolling bag,0,0,0,0,1
I enjoyed the wine fest with my husband,1,0,1,0,1
Always a great time!!!,0,0,0,0,1
It was so much fun and a great way to experience some delicious wine,1,0,1,0,1
Loved to see on groupon!,0,0,0,0,1
Good fun!  Plenty of vendors!,0,1,0,0,1
Dont miss it!,0,0,0,0,1
"Prior to attending the event, research which vendors will be there.  That way yiu won't miss anything!",0,1,0,0,1
"It was a great time. Lots to try and buy, and plenty of choices. Good people and a very nice place.",1,0,1,1,1
Awesome!,0,0,0,0,1
Make sure to put your food n drink  tickets in a secure place lol and bring cash. Great vendors!,1,1,1,1,1
"Great time! Plenty of vendors. I just wish there was more space to walk around. It got very, very crowded later on in the day.",0,1,0,1,1
A great experience!!!  So much to see and sample!  Will definitely return,0,0,0,0,1
It was interesting experience.,0,0,0,0,1
